nom;latitude_mairie;longitude_mairie;beach_coordinates;latitude_plage;longitude_plage;station;latitude_gare;longitude_gare;latitude_port;longitude_port
Arradon;47.623415;-2.82291;[];47.633837;-2.825238;[(None, None)];47.633041;-2.827571;47.616105;-2.827997
Arzon;47.547462;-2.91491;[(Decimal('47.5622618'), Decimal('-2.9066667'))];;;[(None, None)];47.546448;-2.910472;47.543633;-2.890453
Baden;47.4731015;8.3089606;[];;;[(Decimal('47.9995655'), Decimal('16.2514574')), (Decimal('47.4775621'), Decimal('8.3083013')), (Decimal('53.0077966'), Decimal('9.0814824')), (Decimal('48.0038483'), Decimal('16.2408222')), (Decimal('47.4764076'), Decimal('8.3077761')), (Decimal('47.4921211'), Decimal('8.2529031')), (Decimal('48.0035672'), Decimal('16.2583681')), (Decimal('48.0058422'), Decimal('16.2337804')), (Decimal('48.0040441'), Decimal('16.2427890')), (Decimal('47.9996962'), Decimal('16.2561301'))];47.597398;-2.913538;47.607374;-2.876218
Larmor-Baden;47.571481;-2.899233;[];47.585734;-2.898091;[(None, None)];;;47.585369;-2.900903
Plougoumelen;47.652003;-2.913679;[];47.652514;-2.917705;[(None, None)];47.669111;-2.896504;47.642425;-2.897225
Saint-Armel;47.5723681;-2.7109688;[];47.564674;-2.72531;[(None, None)];;;;
Saint-Gildas-de-Rhuys;47.534571;-2.85307;[];47.493506;-2.82013;[(None, None)];47.502884;-2.832652;47.494321;-2.835256
Sarzeau;47.5414430;-2.8169881;[(Decimal('47.5622618'), Decimal('-2.9066667')), (Decimal('47.5438360'), Decimal('-2.8395150'))];47.497441;-2.771986;[(None, None)];47.534564;-2.848019;47.542079;-2.780523
Theix-Noyalo;47.627945;-2.648803;[];47.630265;-2.65036;[(None, None)];;;47.629082;-2.652881
Tour-du-Parc;47.525952;-2.646056;[];47.522993;-2.648759;[(None, None)];;;;
Jard-sur-Mer;46.416857;-1.576067;[(Decimal('46.4248708'), Decimal('-1.6522090'))];;;[(None, None)];46.419652;-1.592637;46.410379;-1.586197
Saint-Vincent-sur-Jard;46.411134;-1.546414;[];46.4165;-1.530211;[(None, None)];;;;
Talmont-Saint-Hilaire;46.5400830;-1.6160528;[(Decimal('46.4248708'), Decimal('-1.6522090'))];46.4413;-1.664017;[(Decimal('46.6069551'), Decimal('-1.6596414'))];46.449718;-1.670712;;
Pontrieux;48.6940527;-3.2161510;[];48.700078;-3.161006;[(Decimal('48.6980393'), Decimal('-3.1644997')), (Decimal('48.6695517'), Decimal('-3.1965542'))];;;48.704134;-3.159817
Santa-Maria-Poggio;42.3398265;9.5393325;[(Decimal('42.3526624'), Decimal('9.5365423'))];42.350767;9.51586;[(None, None)];42.350767;9.51586;42.351787;9.510576
Andernos-les-Bains;44.7650504;-1.1394883;[(Decimal('44.6602730'), Decimal('-1.2392151')), (Decimal('44.6757446'), Decimal('-1.2566210')), (Decimal('44.6549241'), Decimal('-1.2593940')), (Decimal('44.7988490'), Decimal('-1.2343628')), (Decimal('44.7095954'), Decimal('-1.0593177')), (Decimal('44.7137204'), Decimal('-1.0675047')), (Decimal('44.7192020'), Decimal('-1.0743364')), (Decimal('44.7334298'), Decimal('-1.0921992')), (Decimal('44.7258332'), Decimal('-1.0850044')), (Decimal('44.7386995'), Decimal('-1.0997896')), (Decimal('44.7445299'), Decimal('-1.1184185')), (Decimal('44.6979740'), Decimal('-1.2536291'))];44.743125;-1.105158;[(Decimal('44.6566928'), Decimal('-1.2400756')), (Decimal('44.6551021'), Decimal('-1.2583599')), (Decimal('44.7440903'), Decimal('-1.1088665')), (Decimal('44.6372409'), Decimal('-0.9661780'))];44.75035;-1.082528;44.736174;-1.093187
Arès;44.7650504;-1.1394883;[];44.764584;-1.141275;[(None, None)];44.767276;-1.135801;44.765235;-1.136191
